cycle_1_lane	cycle_2_lane	cycle_3_lane	fitness_mode	fitness_mean	fitness_minimum_stdev
12	8	1	0.0	0.16820593836925768	0.16820593836925768
12	8	2	0.0	0.2130075696556395	0.2130075696556395
12	8	3	0.0	0.15134081628314158	0.15134081628314158
12	8	4	0.0	0.14186228838684822	0.14186228838684822
12	8	5	0.0	0.15638311879521746	0.15638311879521746
12	8	6	0.0	0.16840047804247907	0.16840047804247907
12	8	7	0.0	0.15981688300538202	0.15981688300538202
12	8	8	0.0	0.17857081561155022	0.17857081561155022
12	8	9	0.17218906669374343	0.34437813338748685	0.24351211341065734
12	8	10	0.0	0.15211425120439792	0.15211425120439792
12	8	11	0.0	0.14513926974294902	0.14513926974294902
12	8	12	0.0	0.22381754282989147	0.22381754282989147
12	8	13	0.0	0.3232760233189451	0.2840652246850569
12	8	14	0.0	0.28453528115123233	0.28453528115123233
12	8	15	0.0	0.1481808359430188	0.1481808359430188
12	8	16	0.0	0.17870517762627158	0.17870517762627158
12	8	17	0.0	0.1519257253061131	0.1519257253061131
12	8	18	0.0	0.5164419376388838	0.4372715409484531
12	8	19	0.0	0.19465878720911053	0.1946587872091105
12	8	20	0.0	0.17287768951299343	0.17287768951299343
12	9	1	0.0	0.23545990663097324	0.23545990663097321
12	9	2	0.0	0.2918886611133213	0.2918886611133213
12	9	3	0.0	0.21358306232014393	0.21358306232014393
12	9	4	0.0	0.2011301575063447	0.2011301575063447
12	9	5	0.0	0.2201611437225287	0.2201611437225287
12	9	6	18.385394625487304	18.62110481299271	2.0950379727103434
12	9	7	0.0	0.2246224347291339	0.2246224347291339
12	9	8	0.0	0.2487297521626255	0.2487297521626255
12	9	9	22.614050118639252	22.85462511990066	2.344835061814656
12	9	10	0.0	0.21459415579285385	0.21459415579285385
12	9	11	117.72195538752219	117.92740382624442	4.92219473437098
12	9	12	0.0	0.305149600564206	0.305149600564206
12	9	13	0.0	0.7178929286775659	0.6374234798890037
12	9	14	0.0	0.3772086632249795	0.3772086632249794
12	9	15	0.0	0.20944420708345632	0.20944420708345632
12	9	16	0.0	0.7373314244519493	0.6366452177274291
12	9	17	0.0	0.21434777011277933	0.21434777011277933
12	9	18	0.0	1.0530635460774995	0.9229166447770913
12	9	19	0.0	0.2690680939374171	0.2690680939374171
12	9	20	0.0	0.2414573425625656	0.24145734256256557
12	10	1	0.0	0.2377876671309054	0.2377876671309054
12	10	2	0.0	0.2945593485430297	0.2945593485430297
12	10	3	0.0	0.21575558140825232	0.21575558140825232
12	10	4	0.0	0.2032087392622627	0.2032087392622627
12	10	5	0.0	0.22238165266701232	0.22238165266701232
12	10	6	0.0	0.2380396519193757	0.2380396519193757
12	10	7	0.0	0.2268748490887835	0.22687484908878347
12	10	8	0.0	0.2511456049994469	0.2511456049994469
12	10	9	0.0	0.24293726141092578	0.24293726141092578
12	10	10	0.0	0.21677412456515313	0.21677412456515313
12	10	11	0.0	0.20756005285873078	0.20756005285873078
12	10	12	0.0	0.30788886524193826	0.30788886524193826
12	10	13	1.3384756017985175	1.613146274004741	0.9098957020578073
12	10	14	0.0	0.38024080839564806	0.38024080839564806
12	10	15	0.0	0.21158595356113893	0.21158595356113893
12	10	16	0.0	0.2513178672002908	0.2513178672002908
12	10	17	0.0	0.21652592598311304	0.21652592598311304
12	10	18	0.4670349435569756	1.311747758598477	0.9648469875652196
12	10	19	0.0	0.271610070198498	0.271610070198498
12	10	20	0.0	0.2438254849338283	0.2438254849338283
12	11	1	0.0	0.1682917604142069	0.16829176041420688
12	11	2	0.2131103938644707	0.4262207877289414	0.3013836092858065
12	11	3	0.0	0.15141959984272294	0.15141959984272294
12	11	4	0.0	0.14193696294917602	0.14193696294917602
12	11	5	0.0	0.15646404329065272	0.15646404329065272
12	11	6	0.0	0.16848637923998144	0.16848637923998144
12	11	7	0.0	0.15989924759905536	0.15989924759905533
12	11	8	0.0	0.1786607901378406	0.1786607901378406
12	11	9	0.0	0.1722765000979617	0.1722765000979617
12	11	10	0.15219336518661825	0.3043867303732365	0.21523392115011677
12	11	11	0.0	0.14521537736710402	0.14521537736710402
12	11	12	0.0	0.2239241005330967	0.2239241005330967
12	11	13	0.0	0.5017689146604063	0.42981721373101556
12	11	14	0.0	0.28466014452861454	0.28466014452861454
12	11	15	0.0	0.14825826188549426	0.14825826188549426
12	11	16	0.0	0.1787952051163636	0.1787952051163636
12	11	17	0.0	0.1520047588149989	0.15200475881499892
12	11	18	2.3190695079080523	2.5327681408738894	1.2283727701335636
12	11	19	0.0	0.1947549459149555	0.19475494591495554
12	11	20	0.0	0.17296539952279222	0.17296539952279222
12	12	1	0.0	0.2551132866919392	0.2551132866919392
12	12	2	0.0	0.31431567757097756	0.3143156775709775
12	12	3	0.0	0.23196444563503626	0.23196444563503626
12	12	4	0.0	0.21873791307022813	0.21873791307022813
12	12	5	0.23893664502645726	0.4778732900529145	0.3379074439443418
12	12	6	0.0	0.25537748003564764	0.25537748003564764
12	12	7	0.0	0.2436595233125054	0.2436595233125054
12	12	8	0.0	0.26910088727644527	0.26910088727644527
12	12	9	0.0	0.260509850140753	0.260509850140753
12	12	10	0.0	0.2330367703994212	0.2330367703994212
12	12	11	0.0	0.22332855106377403	0.22332855106377403
12	12	12	0.0	0.32812337717783463	0.32812337717783463
12	12	13	0.0	0.4146568092438656	0.3789927237231747
12	12	14	0.0	0.4024652625103736	0.4024652625103736
12	12	15	0.0	0.22757246850079224	0.2275724685007922
12	12	16	0.0	0.26928103652216834	0.26928103652216834
12	12	17	0.0	0.23277548559741912	0.2327754855974191
12	12	18	0.0	0.740696150839848	0.6359902086127996
12	12	19	0.2904609400908	0.5809218801816	0.41077380081604836
12	12	20	0.0	0.26144013500489616	0.26144013500489616
12	13	1	0.0	0.23456486356721948	0.23456486356721945
12	13	2	4.94463227627222	5.235492998405865	1.2340175340092074
12	13	3	0.0	0.21274803798866676	0.21274803798866676
12	13	4	0.0	0.20033141683777744	0.20033141683777744
12	13	5	0.0	0.21930757359307662	0.21930757359307662
12	13	6	0.0	0.23481448526050566	0.23481448526050566
12	13	7	0.0	0.2237565309016921	0.2237565309016921
12	13	8	0.0	0.24780061617823426	0.2478006161782343
12	13	9	0.0	0.239666609620341	0.239666609620341
12	13	10	0.0	0.2137562529487579	0.2137562529487579
12	13	11	0.0	0.20463694188624937	0.20463694188624937
12	13	12	0.0	0.3040950162139345	0.3040950162139345
