cycle_1_lane	cycle_2_lane	cycle_3_lane	fitness	clean_reads
5	2	4	0.0000	0.0000
5	2	5	0.4021	1.5277
5	2	6	0.0000	0.0000
5	2	16	0.2342	1.0000
5	2	18	0.0000	0.0000
5	3	5	0.0000	0.0000
5	3	14	0.0000	0.0000
5	3	16	0.1943	1.0000
5	3	18	0.0000	0.0000
5	4	5	0.0000	0.0000
5	4	8	0.2402	1.0000
5	4	18	1.6460	6.6995
5	5	5	0.0000	0.0000
5	5	8	0.2064	1.0000
5	5	18	0.6624	3.1346
5	6	5	0.0000	0.0000
5	6	18	0.8421	3.8080
5	7	5	0.2484	1.0709
5	7	8	0.2271	1.0000
5	7	18	0.0000	0.0000
5	8	5	0.0000	0.0000
5	8	8	0.2288	1.0000
5	8	12	0.8982	3.0000
5	8	14	0.0000	0.0000
5	8	18	0.0000	0.0000
5	9	5	0.0000	0.0000
5	9	8	0.2310	1.0000
5	9	10	0.0000	0.0000
5	9	11	0.2681	1.0000
5	9	18	0.0000	0.0000
5	9	19	0.0000	0.0000
5	9	20	0.0000	0.0000
5	10	1	0.0000	0.0000
5	10	2	1.3735	5.0606
5	10	3	0.3079	1.6144
5	10	4	0.4784	3.4115
5	10	5	0.4985	2.7336
5	10	6	0.1046	0.3264
5	10	7	0.3563	1.5031
5	10	8	0.3849	2.1588
5	10	9	0.1759	0.7856
5	10	10	0.0000	0.0000
5	10	11	0.0000	0.0000
5	10	12	2.0318	8.5314
5	10	13	0.3296	1.3207
5	10	14	0.3171	1.0398
5	10	15	107.8098	529.8419
5	10	16	0.0000	0.0000
5	10	17	0.0000	0.0000
5	10	18	0.0000	0.0000
5	10	19	1.7418	7.3678
5	10	20	0.5101	1.9247
5	11	1	0.2062	1.2594
5	11	2	0.0000	0.0000
5	11	3	0.5905	2.8835
5	11	4	1.5299	10.1156
5	11	5	0.0000	0.0000
5	11	6	0.0000	0.0000
5	11	7	0.1726	0.6810
5	11	8	0.0000	0.0000
5	11	9	0.6136	2.5597
5	11	10	0.0000	0.0000
5	11	11	0.1042	0.4646
5	11	12	0.1633	0.6415
5	11	13	0.8967	3.3648
5	11	14	2.4136	7.4468
5	11	15	0.0000	0.0000
5	11	16	0.0000	0.0000
5	11	17	0.0000	0.0000
5	11	18	0.0000	0.0000
5	11	19	0.0000	0.0000
5	11	20	0.0000	0.0000
5	12	5	1.1921	5.7392
5	12	8	0.4064	2.0000
5	12	18	0.0532	0.2555
5	13	5	0.1650	0.6511
5	13	8	0.4965	2.0000
5	13	10	13.2769	52.0000
5	13	18	0.0000	0.0000
5	14	5	0.0000	0.0000
5	14	18	0.0000	0.0000
5	15	1	0.6151	3.0000
5	15	5	0.0000	0.0000
5	15	17	0.6289	2.0108
5	15	18	3.5857	14.7282
5	16	2	0.3101	1.0000
5	16	5	0.0000	0.0000
5	16	6	1.0877	3.0000
5	16	8	0.2075	1.0000
