cycle_1_lane	cycle_2_lane	cycle_3_lane	tag_imbalance
1	17	20	0.7681826292635968
1	18	1	1.4192155496504308
1	18	2	1.3256084996345365
1	18	3	1.6119576250768595
1	18	4	1.6672373790232538
1	18	5	1.4770750254476572
1	18	6	1.2327385130045942
1	18	7	1.6215394490942348
1	18	8	1.3609875421602289
1	18	9	1.421795271501263
1	18	10	1.5194561701398928
1	18	11	1.667974442409206
1	18	12	1.2194713720574595
1	18	13	1.7199374111188164
1	18	14	0.7705997700127374
1	18	15	1.5504128323498738
1	18	16	1.3738861514143876
1	18	17	1.6038499278313882
1	18	18	1.5710506071565276
1	18	19	1.716252094189057
1	18	20	1.477812088833609
1	19	1	1.3224190623295065
1	19	2	1.235196407997724
1	19	3	1.5020153151465236
1	19	4	1.5535247566810406
1	19	5	1.3763322778023013
1	19	6	1.1486605462197352
1	19	7	1.5109436183458398
1	19	8	1.268162450579815
1	19	9	1.324822836267784
1	19	10	1.4158228496454313
1	19	11	1.5542115492348343
1	19	12	1.136298280251451
1	19	13	1.6026304242772804
1	19	14	0.7180416149911707
1	19	15	1.4446681369047611
1	19	16	1.2801813202712025
1	19	17	1.4944605970547944
1	19	18	1.4638983284109808
1	19	19	1.5991964615083127
1	19	20	1.377019070356095
1	20	1	0.9688041491108697
1	20	2	0.904904836237808
1	20	3	1.100376356325875
1	20	4	1.1381121710146909
1	20	5	1.0083009684851638
1	20	6	0.8415086675605972
1	20	7	1.1069172308719364
1	20	8	0.9290557576386503
1	20	9	0.9705651537963479
1	20	10	1.0372317597465894
1	20	11	1.1386153152105418
1	20	12	0.8324520720352813
1	20	13	1.174086981018029
1	20	14	0.5260372567620952
1	20	15	1.0583638159723265
1	20	16	0.9378607810660406
1	20	17	1.0948417701715152
1	20	18	1.0724518534561511
1	20	19	1.1715712600387747
1	20	20	1.0088041126810148
2	1	1	1.2233081636754612
2	1	2	1.1426225564114865
2	1	3	1.389444276270181
2	1	4	1.4370932569378827
2	1	5	1.2731807634409888
2	1	6	1.0625722688897477
2	1	7	1.3977034329192495
2	1	8	1.1731179040388156
2	1	9	1.2255317827732874
2	1	10	1.3097116486195604
2	1	11	1.4377285766801189
2	1	12	1.0511365135294992
2	1	13	1.4825186185077583
2	1	14	0.6642267905077615
2	1	15	1.3363950777934732
2	1	16	1.1842359995279457
2	1	17	1.3824557591055846
2	1	18	1.3541840305760817
2	1	19	1.4793420197965783
2	1	20	1.2738160831832248
2	2	1	1.214929340636588
2	2	2	1.1347963745182568
2	2	3	1.3799275346518922
2	2	4	1.427250152438308
2	2	5	1.264460347253037
2	2	6	1.0552943766370781
2	2	7	1.388130121734871
2	2	8	1.1650828499015633
2	2	9	1.2171377294666208
2	2	10	1.3007410208892893
2	2	11	1.4278811206754605
2	2	12	1.0439369483683383
2	2	13	1.4723643813946916
2	2	14	0.6596772919426398
2	2	15	1.3272416868496824
2	2	16	1.176124794051727
2	2	17	1.372986884043218
2	2	18	1.3449087974899443
2	2	19	1.4692095402089305
2	2	20	1.2650913154901893
2	3	1	0.747238672830403
2	3	2	0.6979531306598182
2	3	3	0.8487203206855838
2	3	4	0.8778259558256929
2	3	5	0.7777025709437174
2	3	6	0.6490556636244348
2	3	7	0.8537652974432027
2	3	8	0.7165807371494881
2	3	9	0.7485969358036082
2	3	10	0.8000168912178011
2	3	11	0.8782140309608945
2	3	12	0.6420703111908086
2	3	13	0.9055733279925972
2	3	14	0.40573255385312207
2	3	15	0.8163160468962622
2	3	16	0.7233720520155136
2	3	17	0.8444514941983677
2	3	18	0.8271821506819029
2	3	19	0.9036329523165898
2	3	20	0.7780906460789189
2	4	1	1.151199504795463
2	4	2	1.0752699607243004
2	4	3	1.3075426211309673
2	4	4	1.352382903062756
2	4	5	1.1981323332174019
2	4	6	0.9999382870788948
2	4	7	1.315314936665811
2	4	8	1.1039677411606452
2	4	9	1.1532920512856133
2	4	10	1.2325098826984402
2	4	11	1.3529807734885133
2	4	12	0.9891766194152655
2	4	13	1.3951306385043951
2	4	14	0.6250735301291387
2	4	15	1.2576204405802422
2	4	16	1.114430473611396
2	4	17	1.3009660464476382
2	4	18	1.2743608125014432
2	4	19	1.3921412863756093
2	4	20	1.1987302036431593
2	5	1	1.3162369282884163
2	5	2	1.229422028318212
2	5	3	1.4949935924002944
2	5	4	1.546262234114982
2	5	5	1.3698981066164562
2	5	6	1.1432907102375365
2	5	7	1.5038801569641738
2	5	8	1.262233959015612
2	5	9	1.3186294649017685
2	5	10	1.4092040652643836
2	5	11	1.5469458160045113
2	5	12	1.1309862362260115
2	5	13	1.5951383392163176
2	5	14	0.714684865502747
2	5	15	1.437914504624609
2	5	16	1.2741966420823725
2	5	17	1.4874741916154735
2	5	18	1.4570547975314254
2	5	19	1.5917204297686718
2	5	20	1.3705816885059854
2	6	1	1.1194615387391258
2	6	2	1.045625332340856
2	6	3	1.2714943574253275
2	6	4	1.315098416321944
2	6	5	1.165100453717584
2	6	6	0.9723705133945407
2	6	7	1.279052394300741
2	6	8	1.0735319300346902
2	6	9	1.121496394820968
2	6	10	1.1985302322049898
2	6	11	1.3156798037738988
2	6	12	0.9619055392593528
2	6	13	1.3566676191367177
2	6	14	0.6078405810188294
2	6	15	1.222948505187095
2	6	16	1.0837062104439006
2	6	17	1.265099095453824
2	6	18	1.2392273538418315
2	6	19	1.3537606818769434
2	6	20	1.165681841169539
2	7	1	1.0925477435233517
2	7	2	1.0204866874716947
2	7	3	1.2409254298029448
2	7	4	1.2834811715657346
2	7	5	1.1370894199017383
2	7	6	0.9489930413102082
2	7	7	1.2483017583751617
2	7	8	1.04772236219988
2	7	9	1.0945336781389488
2	7	10	1.1697154885865435
2	7	11	1.284048581455905
2	7	12	0.9387796632871388
2	7	13	1.3240509787129273
2	7	14	0.5932270401732871
2	7	15	1.193546703973706
2	7	16	1.0576520352778642
2	7	17	1.2346839210110692
2	7	18	1.2094341808984805
2	7	19	1.3212139292620746
2	7	20	1.1376568297919087
2	8	1	0.9953026155267346
2	8	2	0.9296555461048207
2	8	3	1.1304735498088645
2	8	4	1.1692415041918847
2	8	5	1.035879741114296
2	8	6	0.8645253827413472
2	8	7	1.1371933285685882
2	8	8	0.9544670369099536
2	8	9	0.9971117867312757
2	8	10	1.0656018394746112
2	8	11	1.169758410250325
2	8	12	0.8552210736894225
2	8	13	1.2062002873703639
2	8	14	0.5404252840992996
2	8	15	1.0873118939291022
2	8	16	0.9635128929326584
2	8	17	1.1247875831660217
2	8	18	1.10178526356543
2	8	19	1.2036157570781625
2	8	20	1.036396647172736
2	9	1	1.1268247468641959
2	9	2	1.052502886125815
2	9	3	1.2798575546050361
2	9	4	1.323748417245812
2	9	5	1.1727638497615418
2	9	6	0.9787662368893107
2	9	7	1.2874653041294373
2	9	8	1.080593038215912
2	9	9	1.1288729871207657
2	9	10	1.2064135111194705
2	9	11	1.3243336287476895
2	9	12	0.9682324298555246
2	9	13	1.3655910396300188
2	9	14	0.6118386252124212
2	9	15	1.2309923941983052
2	9	16	1.0908342394987596
2	9	17	1.2734202280843887
2	9	18	1.2473783162508616
2	9	19	1.362664982120634
2	9	20	1.173349061263419
