cycle_1_lane	cycle_2_lane	cycle_3_lane	fraction_of_000	fraction_of_001	fraction_of_010	fraction_of_011	fraction_of_100	fraction_of_101	fraction_of_110	fraction_of_111
7	11	1	0.0123	0.0375	0.0246	0.0752	0.0697	0.2134	0.1397	0.4276
7	11	2	0.0198	0.0300	0.0396	0.0602	0.1124	0.1707	0.2253	0.3421
7	11	3	0.0123	0.0375	0.0247	0.0751	0.0700	0.2130	0.1404	0.4270
7	11	4	0.0107	0.0391	0.0215	0.0783	0.0609	0.2222	0.1220	0.4453
7	11	5	0.0105	0.0393	0.0210	0.0789	0.0594	0.2236	0.1191	0.4482
7	11	6	0.0066	0.0432	0.0133	0.0865	0.0378	0.2453	0.0757	0.4916
7	11	7	0.0149	0.0349	0.0298	0.0700	0.0845	0.1985	0.1694	0.3979
7	11	8	0.0134	0.0364	0.0268	0.0730	0.0761	0.2070	0.1525	0.4148
7	11	9	0.0134	0.0364	0.0268	0.0730	0.0760	0.2071	0.1523	0.4150
7	11	10	0.0103	0.0395	0.0206	0.0792	0.0584	0.2246	0.1171	0.4502
7	11	11	0.0118	0.0380	0.0236	0.0762	0.0668	0.2162	0.1339	0.4334
7	11	12	0.0192	0.0306	0.0384	0.0614	0.1089	0.1741	0.2183	0.3490
7	11	13	0.0080	0.0418	0.0160	0.0838	0.0454	0.2376	0.0911	0.4762
7	11	14	0.0146	0.0352	0.0294	0.0705	0.0832	0.1998	0.1669	0.4005
7	11	15	0.0099	0.0399	0.0198	0.0801	0.0560	0.2270	0.1123	0.4551
7	11	16	0.0138	0.0360	0.0276	0.0722	0.0782	0.2048	0.1568	0.4106
7	11	17	0.0123	0.0375	0.0247	0.0751	0.0699	0.2131	0.1402	0.4272
7	11	18	0.0132	0.0366	0.0264	0.0734	0.0748	0.2083	0.1499	0.4174
7	11	19	0.0238	0.0260	0.0478	0.0520	0.1354	0.1476	0.2715	0.2959
7	11	20	0.0149	0.0349	0.0299	0.0699	0.0848	0.1982	0.1700	0.3973
7	12	1	0.0081	0.0249	0.0287	0.0878	0.0463	0.1417	0.1631	0.4993
7	12	2	0.0131	0.0199	0.0463	0.0703	0.0746	0.1133	0.2630	0.3994
7	12	3	0.0082	0.0249	0.0288	0.0877	0.0465	0.1414	0.1639	0.4985
